,Unnamed: 0,open_time,close
16848000,16848000,1752537600000000,3014.3
16848001,16848001,1752537601000000,3014.3
16848002,16848002,1752537602000000,3014.31
16848003,16848003,1752537603000000,3014.31
16848004,16848004,1752537604000000,3014.31
16848005,16848005,1752537605000000,3014.1
16848006,16848006,1752537606000000,3013.92
16848007,16848007,1752537607000000,3013.92
16848008,16848008,1752537608000000,3013.92
16848009,16848009,1752537609000000,3013.92
16848010,16848010,1752537610000000,3013.81
16848011,16848011,1752537611000000,3014.05
16848012,16848012,1752537612000000,3014.05
16848013,16848013,1752537613000000,3014.05
16848014,16848014,1752537614000000,3014.05
16848015,16848015,1752537615000000,3014.05
16848016,16848016,1752537616000000,3013.22
16848017,16848017,1752537617000000,3013.49
16848018,16848018,1752537618000000,3013.49
16848019,16848019,1752537619000000,3013.49
16848020,16848020,1752537620000000,3012.5
16848021,16848021,1752537621000000,3012.37
16848022,16848022,1752537622000000,3012.37
16848023,16848023,1752537623000000,3012.36
16848024,16848024,1752537624000000,3012.36
16848025,16848025,1752537625000000,3012.31
16848026,16848026,1752537626000000,3012.31
16848027,16848027,1752537627000000,3012.31
16848028,16848028,1752537628000000,3012.31
16848029,16848029,1752537629000000,3012.31
16848030,16848030,1752537630000000,3011.9
16848031,16848031,1752537631000000,3011.82
16848032,16848032,1752537632000000,3011.82
16848033,16848033,1752537633000000,3011.82
16848034,16848034,1752537634000000,3011.7
16848035,16848035,1752537635000000,3011.4
16848036,16848036,1752537636000000,3011.21
16848037,16848037,1752537637000000,3011.11
16848038,16848038,1752537638000000,3011.01
16848039,16848039,1752537639000000,3011.01
16848040,16848040,1752537640000000,3010.92
16848041,16848041,1752537641000000,3010.83
16848042,16848042,1752537642000000,3010.83
16848043,16848043,1752537643000000,3010.8
16848044,16848044,1752537644000000,3010.6
16848045,16848045,1752537645000000,3010.61
16848046,16848046,1752537646000000,3010.61
16848047,16848047,1752537647000000,3010.61
16848048,16848048,1752537648000000,3010.61
16848049,16848049,1752537649000000,3010.5
16848050,16848050,1752537650000000,3010.35
16848051,16848051,1752537651000000,3010.36
16848052,16848052,1752537652000000,3010.36
16848053,16848053,1752537653000000,3010.9
16848054,16848054,1752537654000000,3010.8
