timestamp,currentPriceOutside,currentPrice,cumulativeVolume
2025-07-15T23:43:20.000000000,3131.69,3131.69,0
2025-07-15T23:43:24.000000000,3132.39,3131.69,0
2025-07-15T23:43:28.000000000,3132.09,3131.69,0
2025-07-15T23:43:32.000000000,3132.14,3131.69,0
2025-07-15T23:43:36.000000000,3131.71,3131.69,0
2025-07-15T23:43:40.000000000,3131.77,3131.69,0
2025-07-15T23:43:44.000000000,3132.03,3131.69,0
2025-07-15T23:43:48.000000000,3132.64,3131.69,0
2025-07-15T23:43:52.000000000,3132.2,3131.69,0
2025-07-15T23:43:56.000000000,3132.48,3131.69,0
2025-07-15T23:44:00.000000000,3132.5,3131.69,0
2025-07-15T23:44:04.000000000,3134.2,3134.1999999999994,60.15532117608179
2025-07-15T23:44:08.000000000,3134.7,3134.1999999999994,60.15532117608179
2025-07-15T23:44:12.000000000,3134.51,3134.1999999999994,60.15532117608179
2025-07-15T23:44:16.000000000,3135.1,3134.1999999999994,60.15532117608179
2025-07-15T23:44:20.000000000,3135.48,3134.1999999999994,60.15532117608179
2025-07-15T23:44:24.000000000,3135.33,3134.1999999999994,60.15532117608179
2025-07-15T23:44:28.000000000,3137.94,3137.9399999999996,149.74447869520168
2025-07-15T23:44:32.000000000,3137.16,3137.9399999999996,149.74447869520168
2025-07-15T23:44:36.000000000,3136.6,3137.9399999999996,149.74447869520168
2025-07-15T23:44:40.000000000,3135.68,3137.9399999999996,149.74447869520168
2025-07-15T23:44:44.000000000,3135.02,3135.02,219.71908549019668
2025-07-15T23:44:48.000000000,3135.09,3135.02,219.71908549019668
2025-07-15T23:44:52.000000000,3135.0,3135.02,219.71908549019668
2025-07-15T23:44:56.000000000,3135.11,3135.02,219.71908549019668
2025-07-15T23:45:00.000000000,3135.35,3135.02,219.71908549019668
2025-07-15T23:45:04.000000000,3135.1,3135.02,219.71908549019668
2025-07-15T23:45:08.000000000,3135.99,3135.02,219.71908549019668
2025-07-15T23:45:12.000000000,3135.27,3135.02,219.71908549019668
2025-07-15T23:45:16.000000000,3136.32,3135.02,219.71908549019668
2025-07-15T23:45:20.000000000,3136.47,3135.02,219.71908549019668
2025-07-15T23:45:24.000000000,3136.8,3135.02,219.71908549019668
2025-07-15T23:45:28.000000000,3136.48,3135.02,219.71908549019668
2025-07-15T23:45:32.000000000,3136.48,3135.02,219.71908549019668
2025-07-15T23:45:36.000000000,3137.44,3137.44,277.6870601346733
2025-07-15T23:45:40.000000000,3138.82,3137.44,277.6870601346733
2025-07-15T23:45:44.000000000,3139.71,3137.44,277.6870601346733
2025-07-15T23:45:48.000000000,3140.32,3140.32,346.64461407674094
2025-07-15T23:45:52.000000000,3142.09,3140.32,346.64461407674094
2025-07-15T23:45:56.000000000,3142.3,3140.32,346.64461407674094
2025-07-15T23:46:00.000000000,3142.2,3140.32,346.64461407674094
2025-07-15T23:46:04.000000000,3142.38,3140.32,346.64461407674094
2025-07-15T23:46:08.000000000,3141.0,3140.32,346.64461407674094
2025-07-15T23:46:12.000000000,3140.7,3140.32,346.64461407674094
2025-07-15T23:46:16.000000000,3140.21,3140.32,346.64461407674094
2025-07-15T23:46:20.000000000,3139.32,3140.32,346.64461407674094
2025-07-15T23:46:24.000000000,3141.44,3140.32,346.64461407674094
2025-07-15T23:46:28.000000000,3140.37,3140.32,346.64461407674094
2025-07-15T23:46:32.000000000,3140.05,3140.32,346.64461407674094
2025-07-15T23:46:36.000000000,3140.8,3140.32,346.64461407674094
2025-07-15T23:46:40.000000000,3140.4,3140.32,346.64461407674094
2025-07-15T23:46:44.000000000,3140.19,3140.32,346.64461407674094
2025-07-15T23:46:48.000000000,3139.52,3140.32,346.64461407674094
2025-07-15T23:46:52.000000000,3139.2,3140.32,346.64461407674094
2025-07-15T23:46:56.000000000,3138.56,3140.32,346.64461407674094
2025-07-15T23:47:00.000000000,3137.29,3137.2900000000004,419.2296002278878
2025-07-15T23:47:04.000000000,3136.33,3137.2900000000004,419.2296002278878
2025-07-15T23:47:08.000000000,3135.5,3137.2900000000004,419.2296002278878
2025-07-15T23:47:12.000000000,3136.1,3137.2900000000004,419.2296002278878
2025-07-15T23:47:16.000000000,3136.49,3137.2900000000004,419.2296002278878
2025-07-15T23:47:20.000000000,3136.03,3137.2900000000004,419.2296002278878
2025-07-15T23:47:24.000000000,3134.4,3134.3999999999996,488.4919766989866
2025-07-15T23:47:28.000000000,3134.6,3134.3999999999996,488.4919766989866
2025-07-15T23:47:32.000000000,3134.98,3134.3999999999996,488.4919766989866
2025-07-15T23:47:36.000000000,3134.71,3134.3999999999996,488.4919766989866
2025-07-15T23:47:40.000000000,3135.35,3134.3999999999996,488.4919766989866
2025-07-15T23:47:44.000000000,3134.37,3134.3999999999996,488.4919766989866
2025-07-15T23:47:48.000000000,3133.7,3134.3999999999996,488.4919766989866
2025-07-15T23:47:52.000000000,3133.03,3134.3999999999996,488.4919766989866
2025-07-15T23:47:56.000000000,3132.93,3134.3999999999996,488.4919766989866
2025-07-15T23:48:00.000000000,3133.07,3134.3999999999996,488.4919766989866
2025-07-15T23:48:04.000000000,3132.78,3134.3999999999996,488.4919766989866
2025-07-15T23:48:08.000000000,3132.16,3134.3999999999996,488.4919766989866
2025-07-15T23:48:12.000000000,3132.5,3134.3999999999996,488.4919766989866
2025-07-15T23:48:16.000000000,3133.27,3134.3999999999996,488.4919766989866
2025-07-15T23:48:20.000000000,3132.7,3134.3999999999996,488.4919766989866
2025-07-15T23:48:24.000000000,3133.28,3134.3999999999996,488.4919766989866
